,product_wanted,stores_map_clicked,product_detail_clicked,product_purchase_intended,store_clicked
5012,175.0,28.0,593.0,49.0,4.0
N/A,3989.0,7.0,0,0,0
72001,203.0,23.0,453.0,69.0,1.0
14001,445.0,72.0,1663.0,169.0,3.0
7004,174.0,35.0,573.0,105.0,0
9004,181.0,42.0,1041.0,70.0,0
13001,1066.0,143.0,3232.0,387.0,1.0
14738003,196.0,23.0,1119.0,50.0,0
7001,281.0,76.0,1799.0,87.0,8.0
12001,289.0,32.0,787.0,76.0,1.0
14029418,114.0,14.0,736.0,29.0,0
69001,63.0,9.0,278.0,51.0,0
8002,300.0,57.0,971.0,169.0,4.0
13798176,63.0,12.0,428.0,34.0,0
50079,183.0,13.0,343.0,67.0,0
19168014,45.0,2.0,260.0,20.0,0
44004,32.0,9.0,87.0,14.0,0
38002,6.0,7.0,52.0,13.0,0
55006,0,1.0,24.0,15.0,0
45002,11.0,0,67.0,32.0,0
